ANNO;CODICE_MESE;NOME_MESE;CODICE_PRODOTTO;NOME_PRODOTTO;PREZZO;IVA;ACCISA;NETTO
1996;1;Gennaio;1;Benzina;904,18;144,37;525,77;234,05
1996;2;Febbraio;1;Benzina;907,09;144,83;527,96;234,3
1996;3;Marzo;1;Benzina;917,83;146,54;527,96;243,32
1996;4;Aprile;1;Benzina;931,48;148,72;527,96;254,79
1996;5;Maggio;1;Benzina;929,94;148,48;527,96;253,5
1996;6;Giugno;1;Benzina;924,06;147,54;527,96;248,56
1996;7;Luglio;1;Benzina;924,72;147,65;527,96;249,11
1996;8;Agosto;1;Benzina;926,01;147,85;527,96;250,19
1996;9;Settembre;1;Benzina;926,39;147,91;527,96;250,51
1996;10;Ottobre;1;Benzina;929,26;148,37;527,96;252,92
1996;11;Novembre;1;Benzina;939,44;149,99;527,96;261,48
1996;12;Dicembre;1;Benzina;936,32;149,5;527,96;258,86
1997;1;Gennaio;1;Benzina;938,82;149,9;527,96;260,96
1997;2;Febbraio;1;Benzina;942,26;150,45;527,96;263,85
1997;3;Marzo;1;Benzina;944,48;150,8;527,96;265,72
1997;4;Aprile;1;Benzina;939,78;150,05;527,96;261,77
1997;5;Maggio;1;Benzina;939,35;149,98;527,96;261,41
1997;6;Giugno;1;Benzina;940,8;150,21;527,96;262,62
1997;7;Luglio;1;Benzina;939,19;149,95;527,96;261,27
1997;8;Agosto;1;Benzina;947,07;151,21;527,96;267,89
1997;9;Settembre;1;Benzina;945,2;150,91;527,96;266,33
1997;10;Ottobre;1;Benzina;947,57;156,86;527,96;262,74
1997;11;Novembre;1;Benzina;946,48;157,75;527,96;260,77
1997;12;Dicembre;1;Benzina;935,79;155,96;527,96;251,86
1998;1;Gennaio;1;Benzina;930,69;155,11;527,96;247,61
1998;2;Febbraio;1;Benzina;925,88;154,31;527,96;243,6
1998;3;Marzo;1;Benzina;912,41;152,07;527,96;232,38
1998;4;Aprile;1;Benzina;908,6;151,43;527,96;229,2
1998;5;Maggio;1;Benzina;912,36;152,06;527,96;232,34
1998;6;Giugno;1;Benzina;912,03;152,01;527,96;232,06
1998;7;Luglio;1;Benzina;913,33;152,22;527,96;233,14
1998;8;Agosto;1;Benzina;909,71;151,62;527,96;230,13
1998;9;Settembre;1;Benzina;906,38;151,06;527,96;227,35
1998;10;Ottobre;1;Benzina;904,22;150,7;527,96;225,55
1998;11;Novembre;1;Benzina;897,64;149,61;527,96;220,07
1998;12;Dicembre;1;Benzina;885,21;147,54;527,96;209,71
1999;1;Gennaio;1;Benzina;885,59;147,6;534,23;203,76
1999;2;Febbraio;1;Benzina;893,47;148,91;541,84;202,72
1999;3;Marzo;1;Benzina;905,33;150,89;541,84;212,6
1999;4;Aprile;1;Benzina;934,12;155,69;541,84;236,59
1999;5;Maggio;1;Benzina;949,7;158,28;541,84;249,57
1999;6;Giugno;1;Benzina;949,06;158,18;541,84;249,04
1999;7;Luglio;1;Benzina;969,96;161,66;541,84;266,45
1999;8;Agosto;1;Benzina;982,52;163,75;541,84;276,92
1999;9;Settembre;1;Benzina;995,44;165,91;541,84;287,69
1999;10;Ottobre;1;Benzina;998,54;166,43;541,84;290,28
1999;11;Novembre;1;Benzina;986,35;164,39;528,93;293,02
1999;12;Dicembre;1;Benzina;1.010,62;168,44;528,93;313,25
2000;1;Gennaio;1;Benzina;1.008,17;168,03;527,4;312,74
2000;2;Febbraio;1;Benzina;1.021,43;170,24;526,78;324,41
2000;3;Marzo;1;Benzina;1.059,34;176,56;524,28;358,5
2000;4;Aprile;1;Benzina;1.046,93;174,49;520,32;352,12
2000;5;Maggio;1;Benzina;1.066,23;177,71;520,32;368,2
2000;6;Giugno;1;Benzina;1.107,3;184,55;520,32;402,43
2000;7;Luglio;1;Benzina;1.118,13;186,35;520,32;411,45
2000;8;Agosto;1;Benzina;1.100,1;183,35;520,32;396,43
2000;9;Settembre;1;Benzina;1.117,94;186,32;520,32;411,29
2000;10;Ottobre;1;Benzina;1.114,66;185,78;520,32;408,56
2000;11;Novembre;1;Benzina;1.117,27;186,21;520,32;410,73
2000;12;Dicembre;1;Benzina;1.091,29;181,88;520,32;389,09
2001;1;Gennaio;1;Benzina;1.046,74;174,46;520,32;351,96
2001;2;Febbraio;1;Benzina;1.048,67;174,78;520,32;353,56
2001;3;Marzo;1;Benzina;1.051,86;175,31;520,32;356,22
2001;4;Aprile;1;Benzina;1.070,51;178,42;520,32;371,77
2001;5;Maggio;1;Benzina;1.111,5;185,25;520,32;405,93
2001;6;Giugno;1;Benzina;1.110,86;185,14;520,32;405,4
2001;7;Luglio;1;Benzina;1.064,2;177,37;520,32;366,51
2001;8;Agosto;1;Benzina;1.042,01;173,67;520,32;348,02
2001;9;Settembre;1;Benzina;1.050,39;175,06;520,32;355
2001;10;Ottobre;1;Benzina;1.026,77;171,13;520,32;335,32
2001;11;Novembre;1;Benzina;1.006,37;167,73;538,97;299,67
2001;12;Dicembre;1;Benzina;993,15;165,52;541,84;285,78
2002;1;Gennaio;1;Benzina;992,39;165,4;541,83;285,3
2002;2;Febbraio;1;Benzina;1.000,95;166,82;541,84;292,28
2002;3;Marzo;1;Benzina;1.023,92;170,65;541,84;311,43
2002;4;Aprile;1;Benzina;1.063,36;177,23;541,84;344,29
2002;5;Maggio;1;Benzina;1.071,58;178,59;541,84;351,14
